id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,suspek,perawatan rs,isolasi di rumah,suspek meninggal,selesai isolasi,probable,perawatan rs,probable meninggal,selesai isolasi,pelaku perjalanan,isolasi di rumah,selesai isolasi,kontak erat,isolasi di rumah,selesai isolasi,discarded,meninggal,selesai isolasi,positif,dirawat,sembuh,meninggal,self isolation,keterangan
3173051001,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,205,4,4,5,192,0,0,0,0,9,0,9,698,26,672,49,0,49,92,3,74,9,6,
3171071006,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,259,2,18,1,238,0,0,0,0,0,0,0,270,6,264,3,0,3,119,2,96,9,12,
3171011005,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,62,6,1,1,54,0,0,0,0,1,0,1,72,6,66,0,0,0,10,0,8,1,1,
3171031002,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,147,7,12,5,123,0,0,0,0,7,0,7,177,38,139,24,0,24,60,0,41,5,14,
3175011005,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,KEBON MANGGIS,63,5,0,4,54,0,0,0,0,1,0,1,61,6,55,17,0,17,40,3,28,2,7,
3171071005,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,220,5,0,2,213,0,0,0,0,5,0,5,286,9,277,2,0,2,90,6,73,6,5,
3175081003,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,KEBON PALA,59,3,0,1,55,0,0,0,0,2,0,2,298,58,240,11,0,11,38,3,25,0,10,
3171061005,DKI JAKARTA,JAKARTA PUSAT,MENTENG,KEBON SIRIH,64,0,4,2,58,0,0,0,0,2,0,2,173,38,135,11,0,11,36,0,33,2,1,
3173011004,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,49,3,0,0,46,0,0,0,0,1,0,1,122,14,108,3,0,3,28,6,22,0,0,
3173051007,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,98,2,1,5,90,1,0,0,1,4,0,4,228,8,220,12,0,12,32,0,30,1,1,
3173051006,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEDOYA UTARA,86,3,1,2,80,0,0,0,0,15,0,15,318,10,308,19,0,19,35,1,30,0,4,
3173051004,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KELAPA DUA,56,2,0,0,54,0,0,0,0,1,0,1,142,12,130,16,0,16,38,1,27,2,8,
3175091003,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,KELAPA DUA WETAN,120,4,4,1,111,0,0,0,0,0,0,0,451,33,418,32,0,32,38,6,26,1,5,
3172061003,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,318,3,16,2,297,0,0,0,0,38,3,35,563,41,522,30,0,30,81,6,63,5,7,
3172061001,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,305,3,8,2,292,0,0,0,0,11,1,10,583,34,549,25,0,25,62,5,42,8,7,
3173071005,DKI JAKARTA,JAKARTA BARAT,PALMERAH,KEMANGGISAN,131,1,2,6,122,0,0,0,0,4,2,2,302,30,272,44,0,44,51,2,34,3,12,
3171031001,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,157,4,8,3,142,0,0,0,0,0,0,0,240,25,215,19,0,19,80,3,48,1,28,
3173081006,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,KEMBANGAN SELATAN,64,4,2,1,57,0,0,0,0,5,0,5,237,15,222,51,0,51,36,1,27,1,7,
3173081001,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,111,7,7,3,94,0,0,0,0,2,0,2,486,31,455,10,0,10,49,5,36,1,7,
3171041002,DKI JAKARTA,JAKARTA PUSAT,SENEN,KENARI,96,0,4,1,91,0,0,0,0,0,0,0,257,6,251,43,0,43,130,1,125,2,2,
3173041005,DKI JAKARTA,JAKARTA BARAT,TAMBORA,KERENDANG,107,8,3,2,94,0,0,0,0,0,0,0,105,8,97,1,0,1,49,1,31,5,12,
3175071003,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,KLENDER,256,4,3,2,247,0,0,0,0,2,0,2,231,16,215,10,0,10,83,3,51,8,21,
3172031001,DKI JAKARTA,JAKARTA UTARA,KOJA,KOJA,141,3,1,0,137,0,0,0,0,4,0,4,186,11,175,25,0,25,24,1,21,1,1,
3173071006,DKI JAKARTA,JAKARTA BARAT,PALMERAH,KOTA BAMBU SELATAN,193,9,9,5,170,0,0,0,0,0,0,0,504,116,388,70,0,70,108,8,57,3,40,
3173071003,DKI JAKARTA,JAKARTA BARAT,PALMERAH,KOTA BAMBU UTARA,170,8,8,11,143,0,0,0,0,0,0,0,300,58,242,49,0,49,92,4,60,4,24,
3171041004,DKI JAKARTA,JAKARTA PUSAT,SENEN,KRAMAT,159,8,6,5,140,0,0,0,0,3,0,3,498,62,436,30,0,30,143,5,70,8,60,
3175041001,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,KRAMAT JATI,110,3,6,1,100,0,0,0,0,5,1,4,226,55,171,19,0,19,28,1,17,2,8,
